run,link,sim_sec,count,stopped_count,mean_speed_kph
reference,10646,2550.0,6.0,0.0,44.199478
reference,10639,900.0,2.0,0.0,31.895159
reference,10639,930.0,1.0,0.0,42.200035
reference,10639,960.0,1.0,0.0,44.382428
reference,10639,990.0,2.0,0.0,42.016687
reference,10639,1020.0,0.0,0.0,0.0
reference,10639,1050.0,0.0,0.0,0.0
reference,10639,1080.0,1.0,0.0,42.215354
reference,10639,1110.0,1.0,0.0,33.726902
reference,10639,1140.0,3.0,0.0,39.294254
reference,10639,1170.0,4.0,0.0,38.806888
reference,10639,1200.0,2.0,0.0,43.703308
reference,10639,1230.0,3.0,2.0,13.408338
reference,10639,1260.0,2.0,0.0,35.079375
reference,10639,1290.0,4.0,0.0,40.969512
reference,10639,1320.0,1.0,1.0,0.0
reference,10639,1350.0,2.0,0.0,44.604767
reference,10639,1380.0,3.0,0.0,41.647768
reference,10639,1410.0,3.0,0.0,28.761216
reference,10639,1440.0,4.0,0.0,38.679432
reference,10639,1470.0,2.0,0.0,44.259877
reference,10639,1500.0,1.0,0.0,43.220257
reference,10639,1530.0,2.0,0.0,30.991192
reference,10639,1560.0,3.0,0.0,42.024694
reference,10639,1590.0,0.0,0.0,0.0
reference,10639,1620.0,0.0,0.0,0.0
reference,10639,1650.0,1.0,0.0,40.894012
reference,10639,1680.0,3.0,0.0,42.019337
reference,10639,1710.0,2.0,0.0,30.160733
reference,10639,1740.0,2.0,0.0,34.61266
reference,10639,1770.0,3.0,0.0,30.5042
reference,10639,1800.0,2.0,0.0,42.63422
reference,10639,1830.0,0.0,0.0,0.0
reference,10639,1860.0,1.0,0.0,33.336934
reference,10639,1890.0,6.0,0.0,25.342918
reference,10639,1920.0,9.0,3.0,15.046498
reference,10639,1950.0,11.0,5.0,17.646106
reference,10639,1980.0,11.0,3.0,17.302179
reference,10639,2010.0,9.0,4.0,11.527965
reference,10639,2040.0,9.0,2.0,20.45556
reference,10639,2070.0,12.0,1.0,15.565626
reference,10639,2100.0,11.0,9.0,1.553031
reference,10639,2130.0,14.0,9.0,6.826674
reference,10639,2160.0,14.0,8.0,7.387214
