sim_sec,veh_no,lane,pos_m,route_decision_no,route_no,route_decision_type,decision_vartype,route_vartype,type_vartype
612,"482","10621-2","249.981183937279","1129","1","STATIC",3,3,8
612,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
612,"1042","10621-1","875.688943319739",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
612,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
612,"2001","10621-2","416.37824551368","1129","1","STATIC",3,3,8
612,"2571","56-3","275.757150632089","1129","1","STATIC",3,3,8
613,"13","10621-1","50.8946260946334","1129","1","STATIC",3,3,8
613,"72","57-1","396.337875789762","1129","3","STATIC",3,3,8
613,"398","10621-1","328.511353064567","1129","1","STATIC",3,3,8
613,"482","10621-2","260.63194639669","1129","1","STATIC",3,3,8
613,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
613,"1042","10621-1","885.045661324185",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
613,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
613,"2001","10621-2","447.297666923178","1129","1","STATIC",3,3,8
613,"2571","56-3","288.385395447846","1129","1","STATIC",3,3,8
614,"13","10621-1","59.1491211489182","1129","1","STATIC",3,3,8
614,"72","57-1","399.03246427936","1129","3","STATIC",3,3,8
614,"398","10621-1","339.975247280382","1129","1","STATIC",3,3,8
614,"482","10621-2","271.2827088561","1129","1","STATIC",3,3,8
614,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
614,"1042","10621-1","894.402379328631",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
614,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
614,"2001","10621-2","478.419151172388","1129","1","STATIC",3,3,8
614,"2571","56-3","300.828369267749","1129","1","STATIC",3,3,8
615,"13","10621-1","67.403616203203","1129","1","STATIC",3,3,8
615,"72","57-1","400.140363233481","1129","3","STATIC",3,3,8
615,"398","10621-1","351.177793154294","1129","1","STATIC",3,3,8
615,"482","10621-2","282.05987271772","1129","1","STATIC",3,3,8
615,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
615,"1042","10621-1","903.521621447595",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
615,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
615,"2001","10621-2","509.742698261308",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
615,"2571","56-3","313.086072091796","1129","1","STATIC",3,3,8
616,"13","10621-1","75.8588781515351","1129","1","STATIC",3,3,8
616,"72","57-1","400.494150541564","1129","3","STATIC",3,3,8
616,"398","10621-1","362.118990686303","1129","1","STATIC",3,3,8
616,"482","10621-2","292.963437981549","1129","1","STATIC",3,3,8
616,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
616,"1042","10621-1","912.403387681076",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
616,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
616,"2001","10621-2","541.26830818994",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
616,"2571","56-3","325.158503919989","1129","1","STATIC",3,3,8
617,"13","10621-1","84.5149069939144","1129","1","STATIC",3,3,8
617,"72","57-1","400.59856294451","1129","3","STATIC",3,3,8
617,"398","10621-1","373.060188218311","1129","1","STATIC",3,3,8
617,"482","10621-2","303.993404647586","1129","1","STATIC",3,3,8
617,"656","57-1","412.99934695961","1129","3","STATIC",3,3,8
617,"1042","10621-1","921.047678029075",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
617,"1475","57-1","406.840908877331","1129","3","STATIC",3,3,8
617,"2001","10621-2","572.995980958283",<EMPTY>,<EMPTY>,<EMPTY>,0,0,0
