link,nc_lcd200,g1_lcd200,h0,h11,b0,d_g1_200,d_h11_1000,d_b0_1000,d_nc_1000v200
1220009600,0.3,0.2,0.3,0.3,0.2,-0.0,0.0,-0.0,0.0
1220012003,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,-0.0
1220012101,0.1,0.1,0.1,0.1,0.1,0.0,-0.0,0.0,0.0
1220012402,7.8,7.8,8.0,6.9,6.6,-0.0,-1.0,-1.3,0.2
1220011103,2.3,2.3,2.3,2.3,2.3,-0.0,0.0,0.0,0.0
10064,0.3,0.3,0.3,0.3,0.3,0.0,0.0,-0.0,0.0
10065,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
10066,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
10068,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0
10052,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
10053,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
10054,0.9,0.9,0.9,0.9,0.9,0.0,0.0,0.0,0.0
10055,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
413,0.4,0.4,0.4,0.4,0.5,0.0,-0.0,0.0,0.0
10060,0.1,0.1,0.1,0.1,0.1,0.0,-0.0,-0.0,0.0
10061,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
10062,0.4,0.4,0.4,0.4,0.4,-0.0,-0.0,0.0,-0.0
10063,0.2,0.1,0.2,0.2,0.2,-0.0,0.0,0.0,-0.0
422,0.1,0.1,0.1,0.1,0.1,-0.0,0.0,-0.0,-0.0
424,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
407,2.6,2.5,2.5,2.5,2.5,-0.0,-0.0,-0.0,-0.0
10000,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
10001,0.1,0.1,0.1,0.1,0.1,0.0,-0.0,0.0,0.0
10002,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
10003,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
10005,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0
10010,0.1,0.1,0.1,0.1,0.1,0.0,-0.0,0.0,0.0
10017,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0
10115,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
10116,0.2,0.2,0.2,0.2,0.2,0.0,-0.0,0.0,0.0
10117,0.1,0.2,0.1,0.2,0.2,0.0,0.0,0.0,-0.0
10100,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0,-0.0
10102,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.1,0.0
10103,0.2,0.2,0.2,0.2,0.2,-0.0,-0.0,-0.0,0.0
10104,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
10038,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
10039,0.6,0.6,0.6,0.6,0.6,0.0,-0.0,-0.0,0.0
10040,0.4,0.4,0.4,0.4,0.4,-0.0,-0.0,-0.0,0.0
10041,0.4,0.4,0.4,0.4,0.4,-0.0,0.0,-0.0,-0.0
10110,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
10111,0.2,0.3,0.3,0.2,0.3,0.0,-0.0,-0.0,0.0
10113,0.2,0.1,0.1,0.1,0.1,-0.0,-0.0,-0.0,-0.0
10048,0.2,0.2,0.2,0.2,0.2,0.0,-0.0,0.0,0.0
10049,0.2,0.2,0.2,0.2,0.2,0.0,-0.0,-0.0,0.0
10050,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
10051,0.7,0.7,0.7,0.7,0.7,-0.0,0.0,-0.0,0.0
10034,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
10035,0.4,0.4,0.4,0.4,0.4,0.0,-0.0,0.0,0.0
10036,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
10037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10057,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
10058,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
10059,0.1,0.1,0.1,0.1,0.1,0.0,-0.0,0.0,-0.0
10043,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0
10044,0.3,0.4,0.4,0.3,0.4,0.0,-0.0,0.0,0.0
10046,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0
10047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10173,0.4,0.4,0.4,0.3,0.4,0.0,-0.0,-0.0,0.0
10174,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,-0.0
10150,0.4,0.4,0.4,0.3,0.4,0.0,-0.0,-0.0,-0.0
10151,0.2,0.1,0.2,0.2,0.2,-0.0,-0.0,-0.0,-0.0
10153,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,-0.0
10158,0.3,0.2,0.3,0.3,0.2,-0.0,0.0,-0.0,-0.0
10163,0.3,0.3,0.2,0.2,0.3,-0.0,0.0,0.0,-0.1
10085,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0
10086,0.3,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0
10167,0.7,0.7,0.7,0.7,0.7,-0.0,-0.0,-0.0,0.0
10168,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,-0.0
10169,0.3,0.3,0.3,0.3,0.3,-0.0,0.0,0.0,-0.0
10170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
10171,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
10095,0.7,0.7,0.7,0.7,0.7,-0.0,-0.0,-0.0,-0.0
10096,0.3,0.3,0.3,0.3,0.3,0.0,0.0,-0.0,0.0
10097,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,-0.0
10098,0.2,0.2,0.2,0.2,0.2,-0.0,-0.0,0.0,0.0
10069,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0
10070,0.2,0.2,0.2,0.2,0.2,0.0,0.0,-0.0,-0.0
10071,1.2,1.2,1.2,1.2,1.2,0.0,0.0,0.0,0.0
10081,0.6,0.6,0.6,1.0,0.6,0.0,0.3,0.0,0.0
10105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
10107,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0
10108,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0
10109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
10089,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
10092,0.1,0.1,0.1,0.1,0.1,-0.0,0.0,-0.0,0.0
10093,0.3,0.3,0.3,0.3,0.3,0.0,-0.0,0.0,0.0
10094,0.3,0.3,0.3,0.3,0.3,-0.0,0.0,0.0,0.0
10215,0.4,0.4,0.5,0.4,0.4,-0.0,-0.1,-0.0,0.0
10199,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
10201,0.1,0.1,0.1,0.1,0.1,0.0,-0.0,0.0,0.0
10202,0.5,0.5,0.5,0.5,0.5,-0.0,-0.0,-0.0,-0.0
10203,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
10204,0.1,0.1,0.1,0.1,0.1,0.0,-0.0,-0.0,0.0
10205,1.2,1.2,1.2,1.2,1.2,-0.0,0.0,0.0,-0.0
