link,veh_h_h0,stop_veh_h_h0,veh_h_h11,stop_veh_h_h11,veh_h_b0,stop_veh_h_b0,dTTT_h11,dTTT_b0,dStop_h11,dStop_b0
1220009600,0.3,0.0,0.3,0.0,0.2,0.0,0.0,-0.0,0.0,0.0
100,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0
101,1.9,0.0,1.9,0.0,1.8,0.0,0.0,-0.1,0.0,0.0
103,5.8,0.0,5.8,0.0,6.4,0.0,0.0,0.6,0.0,0.0
112,2.1,1.1,2.1,1.1,2.1,1.1,0.0,-0.0,0.0,0.0
114,0.9,0.0,0.9,0.0,0.9,0.0,-0.0,-0.0,0.0,0.0
10064,0.3,0.0,0.3,0.0,0.3,0.0,0.0,-0.0,0.0,0.0
10065,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
10066,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
10068,0.8,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0
10069,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
10070,0.2,0.0,0.2,0.0,0.2,0.0,0.0,-0.0,0.0,0.0
10071,1.2,0.0,1.2,0.0,1.2,0.0,0.0,0.0,0.0,0.0
10085,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
10056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10057,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
10058,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10059,0.1,0.0,0.1,0.0,0.1,0.0,-0.0,0.0,0.0,0.0
10060,0.1,0.0,0.1,0.0,0.1,0.0,-0.0,-0.0,0.0,0.0
10061,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
10062,0.4,0.0,0.4,0.0,0.4,0.0,-0.0,0.0,0.0,0.0
10063,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
10048,0.2,0.0,0.2,0.0,0.2,0.0,-0.0,0.0,0.0,0.0
10049,0.2,0.0,0.2,0.0,0.2,0.0,-0.0,-0.0,0.0,0.0
10050,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10051,0.7,0.0,0.7,0.0,0.7,0.0,0.0,-0.0,0.0,0.0
10052,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
10053,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
10054,0.9,0.0,0.9,0.0,0.9,0.0,0.0,0.0,0.0,0.0
10055,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10038,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10039,0.6,0.0,0.6,0.0,0.6,0.0,-0.0,-0.0,0.0,0.0
10040,0.4,0.0,0.4,0.0,0.4,0.0,-0.0,-0.0,0.0,0.0
10041,0.4,0.0,0.4,0.0,0.4,0.0,0.0,-0.0,0.0,0.0
10043,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0
10044,0.4,0.0,0.3,0.0,0.4,0.0,-0.0,0.0,0.0,0.0
10046,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0
10047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10121,0.3,0.0,0.3,0.0,0.3,0.0,-0.0,0.0,0.0,0.0
10122,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0
10124,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
10128,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
10131,0.4,0.0,0.4,0.0,0.4,0.0,-0.0,-0.0,0.0,0.0
10136,0.7,0.0,0.7,0.0,0.7,0.0,0.0,0.0,0.0,0.0
10141,0.2,0.0,0.2,0.0,0.2,0.0,-0.0,-0.0,0.0,0.0
10142,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
10109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10110,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
10111,0.3,0.0,0.2,0.0,0.3,0.0,-0.0,-0.0,0.0,0.0
10113,0.1,0.0,0.1,0.0,0.1,0.0,-0.0,-0.0,0.0,0.0
10115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
10116,0.2,0.0,0.2,0.0,0.2,0.0,-0.0,0.0,0.0,0.0
10117,0.1,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
10119,0.4,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
10098,0.2,0.0,0.2,0.0,0.2,0.0,-0.0,0.0,0.0,0.0
10100,0.4,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0
10102,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-0.1,0.0,0.0
10103,0.2,0.0,0.2,0.0,0.2,0.0,-0.0,-0.0,0.0,0.0
10104,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
10105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10107,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
10108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10086,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0
10089,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10092,0.1,0.1,0.1,0.1,0.1,0.1,0.0,-0.0,-0.0,-0.0
10093,0.3,0.0,0.3,0.0,0.3,0.0,-0.0,0.0,0.0,0.0
10094,0.3,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0
10095,0.7,0.0,0.7,0.0,0.7,0.0,-0.0,-0.0,0.0,0.0
10096,0.3,0.0,0.3,0.0,0.3,0.0,0.0,-0.0,0.0,0.0
10097,0.6,0.0,0.6,0.0,0.6,0.0,0.0,0.0,0.0,0.0
422,0.1,0.0,0.1,0.0,0.1,0.0,0.0,-0.0,0.0,0.0
424,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0
10000,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10001,0.1,0.0,0.1,0.0,0.1,0.0,-0.0,0.0,0.0,0.0
10002,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
10003,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
