link,seg,w900,veh_h,spd,stop_veh_h,run
26,3000,1800,9.5,69.4,0.2,g1_lcd200
26,3000,2700,10.1,64.2,0.4,g1_lcd200
26,3000,3600,10.5,60.3,0.5,g1_lcd200
26,3000,4500,9.6,72.3,0.1,g1_lcd200
26,3500,0,5.3,84.3,0.0,g1_lcd200
26,3500,900,7.2,77.0,0.1,g1_lcd200
26,3500,1800,6.4,77.7,0.0,g1_lcd200
26,3500,2700,7.8,66.7,0.0,g1_lcd200
26,3500,3600,5.9,79.0,0.0,g1_lcd200
26,3500,4500,6.0,83.6,0.0,g1_lcd200
26,4000,0,4.8,91.9,0.0,g1_lcd200
26,4000,900,6.4,89.8,0.0,g1_lcd200
26,4000,1800,5.9,84.4,0.0,g1_lcd200
26,4000,2700,7.5,77.1,0.0,g1_lcd200
26,4000,3600,5.7,81.9,0.0,g1_lcd200
26,4000,4500,5.4,88.1,0.0,g1_lcd200
26,4500,0,3.7,113.2,0.0,g1_lcd200
26,4500,900,5.3,108.0,0.0,g1_lcd200
26,4500,1800,5.3,93.9,0.0,g1_lcd200
26,4500,2700,6.8,84.1,0.0,g1_lcd200
26,4500,3600,5.5,84.7,0.0,g1_lcd200
26,4500,4500,5.1,92.4,0.0,g1_lcd200
26,5000,0,3.6,113.9,0.0,g1_lcd200
26,5000,900,5.3,107.6,0.0,g1_lcd200
26,5000,1800,5.3,92.9,0.0,g1_lcd200
26,5000,2700,6.8,83.3,0.0,g1_lcd200
26,5000,3600,5.6,84.0,0.0,g1_lcd200
26,5000,4500,5.2,91.6,0.0,g1_lcd200
26,5500,0,3.5,108.9,0.0,g1_lcd200
26,5500,900,5.3,104.4,0.0,g1_lcd200
26,5500,1800,5.2,90.2,0.0,g1_lcd200
26,5500,2700,6.6,82.2,0.0,g1_lcd200
26,5500,3600,5.4,84.0,0.0,g1_lcd200
26,5500,4500,5.0,92.7,0.0,g1_lcd200
26,6000,0,2.8,102.3,0.0,g1_lcd200
26,6000,900,5.4,86.6,0.0,g1_lcd200
26,6000,1800,4.7,81.9,0.0,g1_lcd200
26,6000,2700,5.8,74.9,0.0,g1_lcd200
26,6000,3600,4.9,75.1,0.0,g1_lcd200
26,6000,4500,4.7,81.7,0.0,g1_lcd200
26,6500,0,3.4,87.3,0.0,g1_lcd200
26,6500,900,5.9,79.7,0.0,g1_lcd200
26,6500,1800,5.3,74.1,0.0,g1_lcd200
26,6500,2700,6.5,69.9,0.0,g1_lcd200
26,6500,3600,5.1,72.5,0.0,g1_lcd200
26,6500,4500,4.5,82.3,0.0,g1_lcd200
26,7000,0,4.4,71.4,0.0,g1_lcd200
26,7000,900,8.4,63.4,0.0,g1_lcd200
26,7000,1800,7.3,62.1,0.0,g1_lcd200
26,7000,2700,8.6,60.5,0.0,g1_lcd200
26,7000,3600,6.8,62.7,0.0,g1_lcd200
26,7000,4500,5.5,73.1,0.0,g1_lcd200
26,7500,0,4.2,72.9,0.0,g1_lcd200
26,7500,900,8.2,63.7,0.0,g1_lcd200
26,7500,1800,7.5,61.5,0.0,g1_lcd200
26,7500,2700,8.8,59.5,0.0,g1_lcd200
26,7500,3600,6.9,62.6,0.0,g1_lcd200
26,7500,4500,5.5,72.3,0.0,g1_lcd200
26,8000,0,3.1,93.3,0.0,g1_lcd200
26,8000,900,6.1,84.4,0.0,g1_lcd200
26,8000,1800,5.9,78.8,0.0,g1_lcd200
26,8000,2700,6.8,75.6,0.0,g1_lcd200
26,8000,3600,5.7,76.5,0.0,g1_lcd200
26,8000,4500,4.8,84.9,0.0,g1_lcd200
26,8500,0,2.5,113.0,0.0,g1_lcd200
26,8500,900,4.7,108.0,0.0,g1_lcd200
26,8500,1800,5.0,93.9,0.0,g1_lcd200
26,8500,2700,6.0,84.5,0.0,g1_lcd200
26,8500,3600,5.3,84.6,0.0,g1_lcd200
26,8500,4500,4.4,93.2,0.0,g1_lcd200
26,9000,0,2.4,116.3,0.0,g1_lcd200
26,9000,900,4.8,107.8,0.0,g1_lcd200
26,9000,1800,4.9,95.3,0.0,g1_lcd200
26,9000,2700,6.0,84.2,0.0,g1_lcd200
26,9000,3600,5.3,84.6,0.0,g1_lcd200
26,9000,4500,4.4,92.8,0.0,g1_lcd200
