time_s,network_n,FW_E_n,FW_W_n
3845.1,5077,1178,672
3850.1,5092,1186,680
3855.1,5093,1191,681
3860.1,5095,1193,682
3865.1,5084,1194,683
3870.1,5090,1195,679
3875.1,5087,1200,676
3880.1,5088,1204,676
3885.1,5093,1197,668
3890.1,5073,1193,667
3895.1,5070,1190,665
3900.1,5062,1182,667
3905.1,5063,1176,667
3910.1,5056,1178,662
3915.1,5058,1175,667
3920.1,5044,1168,664
3925.1,5035,1168,666
3930.1,5031,1162,676
3935.1,5014,1165,683
3940.1,5015,1160,683
3945.1,5016,1154,690
3950.1,5017,1157,692
3955.1,5005,1150,702
3960.1,5014,1150,708
3965.1,5019,1155,704
3970.1,5018,1157,704
3975.1,5012,1156,698
3980.1,5009,1154,700
3985.1,5003,1154,694
3990.1,5002,1154,690
3995.1,5012,1156,687
4000.1,5013,1157,677
4005.1,5019,1154,673
4010.1,5010,1155,657
4015.1,5010,1155,657
4020.1,5015,1152,664
4025.1,5017,1153,666
4030.1,5016,1151,669
4035.1,5025,1155,670
4040.1,5025,1157,674
4045.1,5018,1151,678
4050.1,5023,1164,679
4055.1,5036,1169,677
4060.1,5030,1166,670
4065.1,5021,1155,668
4070.1,5008,1156,668
4075.1,4991,1156,661
4080.1,4985,1153,658
4085.1,4997,1152,658
4090.1,4985,1145,651
4095.1,4978,1139,649
4100.1,4966,1143,640
4105.1,4970,1144,644
4110.1,4960,1147,647
4115.1,4956,1147,651
4120.1,4959,1148,657
4125.1,4960,1150,659
4130.1,4974,1145,661
4135.1,4982,1149,666
4140.1,4976,1150,674
4145.1,4977,1147,672
4150.1,4992,1146,672
4155.1,4993,1144,672
4160.1,4984,1136,667
4165.1,4976,1133,671
4170.1,4972,1133,665
4175.1,4971,1131,662
4180.1,4977,1134,667
4185.1,4959,1130,666
4190.1,4944,1123,667
4195.1,4938,1128,663
4200.1,4940,1130,661
4205.1,4944,1136,659
4210.1,4936,1129,660
4215.1,4916,1126,664
4220.1,4911,1129,662
4225.1,4908,1132,661
4230.1,4900,1128,660
4235.1,4898,1122,663
4240.1,4895,1127,665
4245.1,4892,1127,668
4250.1,4881,1123,663
4255.1,4879,1125,665
4260.1,4880,1124,662
4265.1,4871,1129,661
4270.1,4861,1126,652
4275.1,4871,1131,652
4280.1,4877,1125,652
4285.1,4891,1121,650
4290.1,4901,1117,652
4295.1,4910,1117,653
4300.1,4921,1121,660
4305.1,4918,1125,655
4310.1,4929,1123,664
4315.1,4920,1124,665
4320.1,4914,1117,662
4325.1,4908,1121,663
4330.1,4896,1113,661
4335.1,4889,1113,658
4340.1,4886,1107,658
4345.1,4870,1110,652
4350.1,4852,1112,640
4355.1,4853,1114,644
4360.1,4867,1120,642
4365.1,4865,1120,647
4370.1,4860,1114,646
4375.1,4865,1111,641
4380.1,4869,1115,632
4385.1,4880,1112,636
4390.1,4875,1117,637
4395.1,4868,1128,638
4400.1,4848,1129,636
4405.1,4831,1129,635
4410.1,4813,1130,636
4415.1,4808,1130,635
4420.1,4792,1132,632
4425.1,4797,1132,637
4430.1,4805,1130,638
4435.1,4822,1136,639
4440.1,4837,1139,640
4445.1,4849,1138,649
4450.1,4846,1132,654
4455.1,4836,1132,662
4460.1,4844,1132,664
4465.1,4840,1126,655
4470.1,4835,1122,655
4475.1,4844,1123,654
4480.1,4827,1121,648
4485.1,4806,1117,647
4490.1,4804,1125,636
4495.1,4798,1133,633
4500.1,4784,1140,635
4505.1,4755,1142,637
4510.1,4732,1141,629
4515.1,4711,1142,624
4520.1,4686,1139,621
4525.1,4689,1141,627
4530.1,4681,1150,622
4535.1,4671,1157,617
4540.1,4664,1150,615
4545.1,4651,1151,606
4550.1,4636,1155,599
4555.1,4621,1156,594
4560.1,4607,1155,588
4565.1,4603,1156,588
4570.1,4595,1153,589
4575.1,4599,1150,590
4580.1,4594,1154,590
4585.1,4598,1150,585
4590.1,4605,1151,576
4595.1,4602,1153,566
4600.1,4607,1149,564
4605.1,4616,1143,577
4610.1,4616,1147,577
4615.1,4611,1143,582
4620.1,4600,1145,583
4625.1,4590,1151,593
4630.1,4571,1148,591
4635.1,4570,1146,602
4640.1,4561,1141,603
4645.1,4527,1140,605
4650.1,4507,1134,615
4655.1,4493,1134,614
4660.1,4484,1138,612
4665.1,4454,1138,603
4670.1,4437,1138,598
4675.1,4429,1140,596
4680.1,4416,1143,586
4685.1,4407,1137,582
4690.1,4388,1128,588
4695.1,4379,1122,591
4700.1,4378,1115,594
4705.1,4363,1111,602
4710.1,4359,1112,604
4715.1,4357,1112,605
4720.1,4354,1108,604
4725.1,4351,1104,598
4730.1,4353,1108,601
4735.1,4370,1110,599
4740.1,4373,1106,599
4745.1,4371,1102,594
4750.1,4376,1096,584
4755.1,4377,1104,570
4760.1,4395,1112,568
4765.1,4385,1116,568
4770.1,4378,1117,572
4775.1,4363,1105,579
4780.1,4369,1094,589
4785.1,4362,1088,586
4790.1,4356,1085,582
4795.1,4337,1083,587
4800.1,4321,1081,586
4805.1,4310,1080,589
4810.1,4302,1079,592
4815.1,4289,1074,591
4820.1,4280,1073,594
4825.1,4281,1078,601
4830.1,4286,1082,603
4835.1,4298,1076,608
4840.1,4302,1068,610
4845.1,4299,1060,608
4850.1,4293,1056,607
4855.1,4283,1060,595
4860.1,4276,1054,584
4865.1,4272,1062,576
4870.1,4274,1065,574
4875.1,4278,1070,582
4880.1,4274,1064,581
4885.1,4267,1065,584
4890.1,4279,1065,583
4895.1,4295,1068,586
4900.1,4311,1076,579
4905.1,4317,1085,571
4910.1,4314,1087,576
4915.1,4322,1091,577
4920.1,4313,1085,578
4925.1,4301,1085,569
4930.1,4302,1086,572
4935.1,4290,1080,578
4940.1,4292,1083,581
4945.1,4255,1077,576
4950.1,4244,1077,576
4955.1,4234,1076,580
4960.1,4233,1069,589
4965.1,4215,1061,594
4970.1,4200,1066,595
4975.1,4184,1065,590
4980.1,4173,1072,588
4985.1,4166,1071,595
4990.1,4148,1061,586
4995.1,4132,1064,588
5000.1,4132,1067,583
5005.1,4134,1064,580
5010.1,4132,1075,576
5015.1,4124,1081,575
5020.1,4136,1091,575
5025.1,4136,1090,582
5030.1,4138,1092,583
5035.1,4148,1086,583
5040.1,4154,1083,586
5045.1,4154,1082,581
5050.1,4145,1072,586
5055.1,4156,1063,588
5060.1,4155,1061,590
5065.1,4157,1057,588
5070.1,4146,1049,583
