simsec,sc,states
41,101,ARRRARRR
41,105,RGRRRGRR
41,107,RGRRRGRR
41,108,RGRRRGRR
41,109,RGRRRGRR
41,1001,RRRGRRRG
41,1002,RRRGRRRG
41,1003,RRRGRRRG
41,1004,RRRGRRRG
41,1005,RRRGRRRG
42,1,GRRRGRRR
42,5,RGRRRGRRRGRRRGRRRRRRRRRR
42,6,GRRRGRRR
42,11,RRRGRRRG
42,12,GRRRGRRR
42,101,ARRRARRR
42,105,RGRRRGRR
42,107,RGRRRGRR
42,108,RGRRRGRR
42,109,RGRRRGRR
42,1001,RRRGRRRG
42,1002,RRRGRRRG
42,1003,RRRGRRRG
42,1004,RRRGRRRG
42,1005,RRRGRRRG
43,1,GRRRGRRR
43,5,RGRRRGRRRGRRRGRRRRRRRRRR
43,6,GRRRGRRR
43,11,RRRGRRRG
43,12,GRRRGRRR
43,101,ARRRARRR
43,105,RGRRRGRR
43,107,RGRRRGRR
43,108,RGRRRGRR
43,109,RGRRRGRR
43,1001,RRRGRRRG
43,1002,RRRGRRRG
43,1003,RRRGRRRG
43,1004,RRRGRRRG
43,1005,RRRGRRRG
44,1,GRRRGRRR
44,5,RGRRRGRRRGRRRGRRRRRRRRRR
44,6,GRRRGRRR
44,11,RRRGRRRG
44,12,GRRRGRRR
44,101,RRRGRRRG
44,105,RGRRRGRR
44,107,RGRRRGRR
44,108,RGRRRGRR
44,109,RGRRRGRR
44,1001,RRRGRRRG
44,1002,RRRGRRRG
44,1003,RRRGRRRG
44,1004,RRRGRRRG
44,1005,RRRGRRRG
45,1,GRRRGRRR
45,5,RGRRRGRRRGRRRGRRRRRRRRRR
45,6,GRRRGRRR
45,11,RRRGRRRG
45,12,GRRRGRRR
45,101,RRRGRRRG
45,105,RGRRRGRR
45,107,RGRRRGRR
45,108,RGRRRGRR
45,109,RGRRRGRR
45,1001,RRRGRRRG
45,1002,RRRGRRRG
45,1003,RRRGRRRG
45,1004,RRRGRRRG
45,1005,RRRGRRRG
46,1,GRRRGRRR
46,5,RGRRRGRRRGRRRGRRRRRRRRRR
46,6,GRRRGRRR
46,11,RRRGRRRG
46,12,GRRRGRRR
46,101,RRRGRRRG
46,105,RGRRRGRR
46,107,RGRRRGRR
46,108,RGRRRGRR
46,109,RGRRRGRR
46,1001,RRRARRRA
46,1002,RRRARRRA
46,1003,RRRARRRA
46,1004,RRRARRRA
46,1005,RRRARRRA
47,1,ARRRARRR
47,5,RGRRRGRRRGRRRGRRRRRRRRRR
47,6,GRRRGRRR
