link,inside_omega,group,nc_ttt_veh_h,nc_slow_veh_h,cl_ttt_veh_h,cl_slow_veh_h,delta_ttt_veh_h,delta_slow_veh_h
125,False,urban_and_ramps,41.51111111111086,0,42.62819444444533,0.0033333333333333335,1.1170833333344703,0.0033333333333333335
126,True,urban_and_ramps,5.048333333333112,0.3344444444444441,6.570833333332065,1.5238888888889202,1.5224999999989537,1.189444444444476
127,True,urban_and_ramps,273.61555555556123,213.00263888888625,264.9340277777848,206.24861111111048,-8.68152777777641,-6.754027777775775
128,True,urban_and_ramps,3.5213888888891898,2.175000000000067,3.148333333333614,1.8955555555556238,-0.3730555555555757,-0.27944444444444305
129,True,urban_and_ramps,5.532361111110486,0.01083333333333332,5.277499999999447,0.007222222222222223,-0.2548611111110386,-0.003611111111111097
136,True,urban_and_ramps,0.3011111111111116,0,0.29749999999999893,0,-0.003611111111112675,0
138,True,urban_and_ramps,1.082083333333437,0,1.0801388888889925,0,-0.0019444444444445264,0
164,True,urban_and_ramps,0.22416666666666002,0.0002777777777777778,0.22722222222221544,0.0008333333333333334,0.0030555555555554226,0.0005555555555555557
165,False,urban_and_ramps,0.15888888888888608,0,0.1586111111111084,0,-0.0002777777777776824,0
167,False,urban_and_ramps,0.09319444444444365,0,0.09194444444444369,0,-0.0012499999999999595,0
168,True,urban_and_ramps,0.527777777777792,0,0.5280555555555697,0,0.0002777777777777102,0
170,True,urban_and_ramps,0.02833333333333337,0,0.02805555555555559,0,-0.00027777777777777957,0
172,True,urban_and_ramps,0.006388888888888889,0,0.006666666666666667,0,0.00027777777777777783,0
173,True,urban_and_ramps,8.070555555554579,6.598333333332724,9.972361111109922,8.369583333331917,1.9018055555553435,1.7712499999991929
174,True,urban_and_ramps,13.180277777776977,0.002777777777777778,13.660138888888365,0.06694444444444443,0.4798611111113882,0.06416666666666665
176,True,urban_and_ramps,3.4931944444448155,2.2927777777779808,2.739166666666905,1.4550000000001164,-0.7540277777779107,-0.8377777777778643
178,True,urban_and_ramps,4.385972222222145,2.770138888889074,5.080972222221952,3.2631944444446868,0.6949999999998067,0.49305555555561265
182,True,urban_and_ramps,5.28249999999953,0,5.322222222221735,0.0008333333333333334,0.03972222222220534,0.0008333333333333334
183,True,urban_and_ramps,4.008333333333783,2.9380555555558794,4.23597222222249,3.113472222222551,0.22763888888870643,0.17541666666667144
190,False,urban_and_ramps,0.30722222222222123,0,0.3083333333333323,0,0.0011111111111110628,0
194,True,urban_and_ramps,0.18805555555555098,0,0.18999999999999534,0,0.0019444444444443598,0
196,True,urban_and_ramps,0.18194444444444005,0,0.1836111111111072,0,0.0016666666666671492,0
199,True,urban_and_ramps,0.5011111111111327,0,0.5063888888889128,0,0.005277777777780046,0
200,True,urban_and_ramps,0.49000000000001903,0,0.4963888888889054,0,0.00638888888888639,0
201,True,urban_and_ramps,0.032500000000000064,0,0.032500000000000064,0,0.0,0
210,False,urban_and_ramps,0.09972222222222117,0,0.10444444444444356,0,0.004722222222222391,0
213,True,urban_and_ramps,0.8919444444445113,0.3502777777777796,0.9772222222222705,0.442222222222233,0.08527777777775924,0.09194444444445343
217,True,urban_and_ramps,0.5936111111111474,0.5411111111111397,0.5936111111111474,0.5411111111111397,0.0,0.0
225,True,urban_and_ramps,0.03444444444444452,0,0.03444444444444452,0,0.0,0
236,True,urban_and_ramps,0.17388888888888462,0.001388888888888889,0.1719444444444402,0.0036111111111111114,-0.0019444444444444153,0.0022222222222222227
245,True,urban_and_ramps,0.38236111111111853,0.050277777777777956,0.41861111111111654,0.0761111111111107,0.036249999999998006,0.025833333333332743
254,True,urban_and_ramps,0.10999999999999834,0,0.1119444444444427,0,0.0019444444444443598,0
255,True,urban_and_ramps,0.06416666666666684,0,0.06638888888888898,0,0.0022222222222221394,0
256,True,urban_and_ramps,1.0258333333334226,0.35888888888888965,1.0230555555556446,0.3575000000000008,-0.00277777777777799,-0.0013888888888888284
