input_no,head,road,sg,lane,green_start_sec,green_end_sec,departure_ordinal,previous_vehicle_id,vehicle_id,linear_estimate_headway_sec,lower_headway_sec,upper_headway_sec,all_prehead_queued,near20_queued,downstream_stopped_witness,ambiguous_crossing_count,both_departures_previously_stopped_same_lane,minimum_nearest_stopped_distance_m,maximum_nearest_stopped_distance_m,queued_after_third_departure,qualified_broad_only
90030875,90030875,66,3,4,2299,2322,2,8294,8381,2.765641512833099,2,4,False,False,False,0,True,6.9773673078557295,18.527367307855457,False,False
90030875,90030875,66,3,4,2299,2322,3,8381,8448,2.062128444829341,1,3,False,False,False,0,True,24.647367307855802,30.527367307855457,False,False
90030875,90030875,66,3,4,2299,2322,4,8448,8412,1.7811221192077937,1,3,True,False,False,0,True,36.27736730785546,42.24736730785571,False,True
90030875,90030875,66,3,4,2299,2322,5,8412,12881,2.1024191730161874,1,3,True,False,False,0,True,48.07736730785564,54.037367307855675,False,True
90030875,90030875,66,3,4,2299,2322,6,12881,8484,1.8064047306761495,1,3,True,False,False,0,True,59.3973673078558,65.1473673078558,False,True
90030875,90030875,66,3,4,2299,2322,7,8484,8506,1.8245451002408117,0.0,2,True,False,False,0,True,70.96736730785551,70.96736730785551,False,True
90030875,90030875,66,3,4,2299,2322,8,8506,8464,2.1271553675960604,2,4,True,False,False,0,True,46.007367307855475,66.41736730785578,False,True
90030875,90030875,66,3,4,2299,2322,9,8464,8750,1.6383181122732822,0.0,2,True,False,False,0,True,65.1473673078558,65.1473673078558,False,True
90030875,90030875,66,3,4,2299,2322,10,8750,8762,1.5836360239250098,1,3,True,False,False,0,True,63.87736730785582,100.3673673078556,False,True
90030875,90030875,66,3,4,2299,2322,11,8762,8808,2.0800310149002144,1,3,True,False,False,0,True,76.67736730785555,88.43736730785577,False,True
90030875,90030875,66,3,4,2299,2322,12,8808,8967,1.3149776802611086,0.0,2,True,False,False,0,True,87.84736730785562,87.84736730785562,False,True
90030875,90030875,66,3,4,2449,2472,2,8883,8688,2.7029099499154654,2,4,False,False,False,0,True,7.287367307855675,19.277367307855457,False,False
90030875,90030875,66,3,4,2449,2472,3,8688,9015,2.7986944139770458,2,4,False,False,False,0,True,25.47736730785573,36.3373673078554,False,False
90030875,90030875,66,3,4,2449,2472,4,9015,9055,1.9777481022251777,1,3,True,False,False,0,True,36.3373673078554,41.76736730785569,False,True
90030875,90030875,66,3,4,2449,2472,5,9055,9266,1.871736150471861,1,3,True,False,False,0,True,47.73736730785549,53.787367307855675,False,True
90030875,90030875,66,3,4,2449,2472,6,9266,9288,2.2016118014430504,1,3,True,False,False,0,True,60.187367307855766,66.21736730785551,False,True
90030875,90030875,66,3,4,2449,2472,7,9288,9348,1.747447457222279,0.0,2,True,False,False,0,True,72.7373673078555,72.7373673078555,False,True
90030875,90030875,66,3,4,2449,2472,8,9348,9387,2.1620489822294076,2,4,True,False,False,0,True,78.32736730785564,96.38736730785558,False,True
90030875,90030875,66,3,4,2449,2472,9,9387,14628,1.879971845809905,1,3,True,True,False,0,True,1.7773673078554566,9.527367307855457,True,True
