sim_sec,elapsed_sec,link,cell_index_zero_based,count_veh,speed_kph,density_veh_km_lane,effective_lanes
1310.0,110.0,FW_W,8,23.986241205851503,86.52207796415401,11.679161386532972,4.0
1310.0,110.0,FW_W,9,20.376335173303783,99.1252504617306,9.921458927755955,4.0
1310.0,110.0,FW_W,10,18.513688245714626,105.34944557512101,9.014515906265094,4.0
1310.0,110.0,FW_W,11,17.91167798615949,104.85173968204002,8.732012158749738,3.995134414920112
1310.0,110.0,FW_W,12,14.315879971381248,101.7914258667882,6.970557460049571,4.0
1310.0,110.0,FW_W,13,20.082439527285853,90.24778189956766,9.77835794535587,4.0
1310.0,110.0,FW_W,14,22.07175368782499,83.88902813607088,10.746976618455182,4.0
1310.0,110.0,FW_W,15,23.497442564913985,82.66662088070082,11.441160018830782,4.0
1310.0,110.0,FW_W,16,21.771756945682895,94.01132831043428,10.6009049460809,4.0
1310.0,110.0,FW_W,17,21.17324883866373,101.13397354845155,10.309484847657146,4.0
1310.0,110.0,FW_W,18,21.001511449353032,105.13568212262062,10.225864047355504,4.0
1310.0,110.0,FW_W,19,20.54789216554421,108.04371836939956,10.00499189076457,4.0
1310.0,110.0,FW_W,20,19.412989368638065,109.96098810909375,9.452395391407222,4.0
1310.0,110.0,FW_E,0,36.997720041801806,91.601162026665,18.01459176507223,4.0
1310.0,110.0,FW_E,1,37.086159662422915,91.36554511187803,18.057653977001696,4.0
1310.0,110.0,FW_E,2,36.61102059261284,92.34571142997635,17.826303602854484,4.0
1310.0,110.0,FW_E,3,36.00149977523938,93.37559568367513,17.529521296136934,4.0
1310.0,110.0,FW_E,4,35.28092829474951,94.4584185442784,17.17866721529324,4.0
1310.0,110.0,FW_E,5,34.50694776299407,95.53080073530818,16.801807687248424,4.0
1310.0,110.0,FW_E,6,33.6009870379298,96.8408066207704,16.360685569485977,4.0
1310.0,110.0,FW_E,7,32.93172501396925,97.0030064774974,16.034814620360102,4.0
1310.0,110.0,FW_E,8,32.569748403058874,96.85643180018234,15.976396480962533,3.970498427612693
1310.0,110.0,FW_E,9,31.83635131055236,83.08123849392798,15.501465265995682,4.0
1310.0,110.0,FW_E,10,36.107290025278786,79.6145592313568,17.58103171799622,4.0
1310.0,110.0,FW_E,11,33.549456409951155,87.25529632520059,16.33559474698707,4.0
1310.0,110.0,FW_E,12,35.727584747845654,75.1636216944248,17.396149093978497,4.0
1310.0,110.0,FW_E,13,28.59483456718855,82.97535645415475,18.59643123019313,2.994797309504355
