run_label,run,seed,sim_sec,vehicle_id,physical_link,lane,local_pos_m,chain_pos_m,cell,speed_kph,speed_class
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15425,2,2,1463.67,4198.197,8,1.29,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15434,2,2,1427.01,4161.537,8,2.05,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15462,2,3,1548.29,4282.817,8,5.46,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15463,2,3,1889.01,4623.537,9,6.56,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15464,2,1,1967.74,4702.267,9,1.15,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15471,2,3,1999.86,4734.387,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15472,2,2,1820.23,4554.757,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15487,2,3,1769.57,4504.097,8,4.15,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15494,2,3,1718.41,4452.937,8,1.19,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15515,2,3,1536.22,4270.747,8,9.01,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15518,2,3,1923.94,4658.467000000001,9,1.4,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15540,2,2,1381.84,4116.367,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15551,2,3,1988.91,4723.437,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15553,2,1,1822.69,4557.217000000001,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15587,2,3,1929.91,4664.437,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15598,2,3,1573.29,4307.817,8,0.9,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15599,2,3,1953.65,4688.177,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15604,2,2,1512.53,4247.057,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15661,2,2,1476.52,4211.0470000000005,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15713,2,2,1569.67,4304.197,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15720,2,2,2007.36,4741.887,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15736,2,1,1420.7,4155.227,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15788,2,2,1855.87,4590.397,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15793,2,3,2369.98,5104.507,9,113.64,moving
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15810,2,3,1941.94,4676.467000000001,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15818,2,4,1922.95,4657.477,9,109.64,moving
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15819,2,2,1845.25,4579.777,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15829,2,3,1611.05,4345.577,8,17.83,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15846,2,3,1817.77,4552.2970000000005,8,4.6,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15866,2,2,1713.22,4447.747,8,1.05,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15886,2,2,1839.51,4574.037,8,1.04,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,15887,2,3,1876.74,4611.267,8,0.0,stopped
