sec,link_or_cell,n,stop_le1_kph,slow_lt30_kph,mean_speed_kph
2403,321,13,5,10,11.157692307692308
2403,322,24,5,16,19.769166666666667
2403,324,1,0,0,43.73
2403,325,20,20,20,0.0
2403,326,27,25,27,0.7392592592592593
2403,329,24,9,23,6.28
2403,337,1,0,0,136.49
2403,341,3,3,3,0.0
2403,343,5,4,5,0.8380000000000001
2403,364,2,2,2,0.0
2403,387,3,0,0,81.05666666666667
2403,39,3,2,2,15.469999999999999
2403,40,26,23,23,5.9630769230769225
2403,403,11,11,11,0.0
2403,408,7,0,0,49.221428571428575
2403,410,4,0,0,50.055
2403,412,10,0,6,38.17
2403,416,20,9,11,19.436
2403,417,1,0,0,42.15
2403,420,19,0,0,50.20421052631579
2403,421,3,0,0,39.69
2403,427,10,3,6,29.107
2403,46,7,3,4,41.705714285714286
2403,47,21,0,2,52.29142857142857
2403,52,22,2,4,41.055
2403,57,3,0,0,40.37
2403,58,10,0,0,58.762
2403,61,1,0,0,105.99
2403,62,2,0,0,70.32
2403,69,27,0,2,36.79925925925926
2403,71,10,9,10,0.559
2403,74,124,0,0,108.36419354838709
2403,E8,93,32,75,20.020752688172045
2403,E9,8,0,1,77.97
2404,100,6,0,0,37.318333333333335
2404,10023,2,0,0,47.39
2404,10024,1,0,0,40.55
2404,10029,1,0,0,43.79
2404,10112,1,0,0,45.59
2404,10124,3,0,0,36.79333333333333
2404,10179,2,0,0,42.615
2404,10200,4,0,1,35.07
2404,10293,1,0,0,42.6
2404,10304,1,0,0,33.98
2404,10305,1,0,0,34.17
2404,10329,1,0,0,32.62
2404,10380,1,0,0,78.87
2404,10480,2,0,0,32.635
2404,10481,46,40,44,3.4056521739130434
2404,10482,2,0,0,41.150000000000006
2404,10484,5,0,0,42.948
2404,10491,4,0,2,30.12
2404,10493,4,0,1,36.715
2404,10495,1,0,0,43.11
2404,10498,1,0,0,105.04
2404,10501,5,0,0,72.242
2404,10514,5,2,4,15.425999999999998
2404,10517,4,4,4,0.0
2404,10520,5,5,5,0.0
2404,10523,1,0,1,5.36
2404,10550,1,0,0,44.45
2404,10559,2,0,0,56.93000000000001
2404,10566,3,0,0,40.88999999999999
2404,10610,1,0,0,46.97
2404,10621,10,0,0,58.039
2404,10631,1,0,0,40.4
2404,10638,9,0,0,41.824444444444445
2404,10639,2,0,0,43.040000000000006
2404,10640,1,0,0,45.37
2404,10641,2,0,0,70.41
2404,10643,1,0,0,32.1
2404,10644,16,0,1,33.4825
2404,10646,7,0,0,46.38857142857143
2404,10654,2,0,0,41.315
2404,10655,1,0,1,9.5
2404,10660,1,1,1,0.0
2404,10665,1,0,0,75.05
2404,10674,1,0,0,41.57
2404,10682,20,4,20,6.079
2404,10686,2,0,0,45.865
2404,10699,1,0,0,112.65
2404,10701,1,0,0,38.63
2404,119,13,0,0,84.73692307692308
2404,120,231,0,0,98.15467532467532
2404,121,11,1,8,24.029999999999998
2404,1210006903,7,0,0,39.89142857142857
2404,1210008202,1,0,0,39.91
2404,1210008303,2,0,0,41.519999999999996
2404,1210008401,20,18,18,3.936
2404,1210008501,1,0,0,44.5
2404,1210008703,2,2,2,0.0
2404,1210009503,3,1,2,20.666666666666668
2404,1210012101,3,0,0,39.99333333333333
2404,1210012103,2,0,0,42.41
2404,1210012600,6,1,3,25.675
2404,1210012700,1,0,0,42.07
2404,1210014303,12,7,9,14.780833333333334
2404,1210018302,15,13,13,7.184666666666667
2404,1210018504,3,0,1,32.306666666666665
2404,122,1,0,0,77.4
2404,1220000102,5,0,0,66.26599999999999
2404,1220000201,5,1,2,29.339999999999996
2404,1220000402,12,0,0,48.88999999999999
2404,1220000502,4,0,0,71.9425
2404,1220006403,4,0,2,31.802500000000002
2404,1220006503,1,1,1,0.0
2404,1220006803,8,0,0,56.09625
2404,1220006903,11,8,9,7.707272727272727
2404,1220007001,6,6,6,0.0
2404,1220007004,2,0,0,42.11
2404,1220007104,6,0,0,57.453333333333326
2404,1220007200,12,12,12,0.0
2404,1220007300,1,0,0,115.65
2404,1220007402,1,0,1,12.73
2404,1220007501,16,12,15,7.420624999999999
2404,1220007502,3,0,3,15.746666666666668
2404,1220008202,1,0,0,42.2
2404,1220008301,4,0,0,36.5375
2404,1220008302,2,0,0,43.515
2404,1220008501,1,0,0,34.7
2404,1220008502,8,0,0,40.3725
2404,1220009402,1,0,0,43.6
2404,1220011001,10,3,5,22.689
2404,1220011101,1,0,0,44.92
2404,1220011103,3,0,0,41.75333333333333
2404,1220011503,24,20,21,5.91375
2404,1220012001,1,1,1,0.0
2404,1220012102,3,3,3,0.0
2404,1220012103,1,1,1,0.0
2404,1220012502,2,2,2,0.0
2404,1220012700,4,0,0,42.6
2404,1220014100,3,0,0,44.01
2404,1220014201,3,3,3,0.0
2404,1220014203,5,5,5,0.0
2404,1220014303,3,3,3,0.0
2404,1220015000,4,4,4,0.0
2404,1220018302,1,0,0,43.6
2404,1220018403,4,0,0,45.0525
2404,1220018404,10,0,0,40.342
2404,1220018501,1,0,0,40.97
2404,1220018502,2,0,0,44.815
2404,1220018504,6,1,1,37.63333333333333
2404,124,2,0,0,35.75
2404,127,159,112,145,5.272641509433963
2404,129,4,0,1,35.765
2404,138,1,0,0,41.64
2404,168,2,0,0,41.075
2404,173,1,1,1,0.0
2404,174,15,0,0,49.69133333333333
2404,176,1,1,1,0.0
2404,182,7,0,0,70.11142857142856
2404,183,1,1,1,0.0
2404,2,388,83,252,35.359664948453606
2404,21,2,0,0,43.2
2404,24,76,0,0,102.43552631578947
2404,26,354,13,71,55.87064971751412
