sim_sec,controller_mode,sc_no,control_name,sg1_state,sg2_state,phase_label
32,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
32,COM_FIXED_TIME,6,RM_D,AMBER,,RAMP_AMBER
32,COM_FIXED_TIME,7,RM_F,AMBER,,RAMP_AMBER
33,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
33,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
33,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
33,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
33,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
33,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
33,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
34,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
34,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
34,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
34,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
34,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
34,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
34,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
35,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
35,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
35,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
35,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
35,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
35,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
35,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
36,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
36,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
36,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
36,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
36,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
36,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
36,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
37,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
37,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
37,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
37,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
37,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
37,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
37,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
38,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
38,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
38,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
38,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
38,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
38,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
38,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
39,COM_FIXED_TIME,1,A,GREEN,RED,MAJOR_GREEN
39,COM_FIXED_TIME,2,B,GREEN,RED,MAJOR_GREEN
39,COM_FIXED_TIME,3,C,GREEN,RED,MAJOR_GREEN
39,COM_FIXED_TIME,4,D,GREEN,RED,MAJOR_GREEN
39,COM_FIXED_TIME,5,F,GREEN,RED,MAJOR_GREEN
39,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
39,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
40,COM_FIXED_TIME,1,A,AMBER,RED,MAJOR_AMBER
40,COM_FIXED_TIME,2,B,AMBER,RED,MAJOR_AMBER
40,COM_FIXED_TIME,3,C,AMBER,RED,MAJOR_AMBER
40,COM_FIXED_TIME,4,D,AMBER,RED,MAJOR_AMBER
40,COM_FIXED_TIME,5,F,AMBER,RED,MAJOR_AMBER
40,COM_FIXED_TIME,6,RM_D,GREEN,,RAMP_GREEN
40,COM_FIXED_TIME,7,RM_F,GREEN,,RAMP_GREEN
41,COM_FIXED_TIME,1,A,AMBER,RED,MAJOR_AMBER
41,COM_FIXED_TIME,2,B,AMBER,RED,MAJOR_AMBER
41,COM_FIXED_TIME,3,C,AMBER,RED,MAJOR_AMBER
41,COM_FIXED_TIME,4,D,AMBER,RED,MAJOR_AMBER
41,COM_FIXED_TIME,5,F,AMBER,RED,MAJOR_AMBER
41,COM_FIXED_TIME,6,RM_D,GREEN,,RAMP_GREEN
41,COM_FIXED_TIME,7,RM_F,GREEN,,RAMP_GREEN
42,COM_FIXED_TIME,1,A,AMBER,RED,MAJOR_AMBER
42,COM_FIXED_TIME,2,B,AMBER,RED,MAJOR_AMBER
42,COM_FIXED_TIME,3,C,AMBER,RED,MAJOR_AMBER
42,COM_FIXED_TIME,4,D,AMBER,RED,MAJOR_AMBER
42,COM_FIXED_TIME,5,F,AMBER,RED,MAJOR_AMBER
42,COM_FIXED_TIME,6,RM_D,AMBER,,RAMP_AMBER
42,COM_FIXED_TIME,7,RM_F,AMBER,,RAMP_AMBER
43,COM_FIXED_TIME,1,A,RED,RED,ALL_RED_1
43,COM_FIXED_TIME,2,B,RED,RED,ALL_RED_1
43,COM_FIXED_TIME,3,C,RED,RED,ALL_RED_1
43,COM_FIXED_TIME,4,D,RED,RED,ALL_RED_1
43,COM_FIXED_TIME,5,F,RED,RED,ALL_RED_1
43,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
43,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
44,COM_FIXED_TIME,1,A,RED,RED,ALL_RED_1
44,COM_FIXED_TIME,2,B,RED,RED,ALL_RED_1
44,COM_FIXED_TIME,3,C,RED,RED,ALL_RED_1
44,COM_FIXED_TIME,4,D,RED,RED,ALL_RED_1
44,COM_FIXED_TIME,5,F,RED,RED,ALL_RED_1
44,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
44,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
45,COM_FIXED_TIME,1,A,RED,GREEN,MINOR_GREEN
45,COM_FIXED_TIME,2,B,RED,GREEN,MINOR_GREEN
45,COM_FIXED_TIME,3,C,RED,GREEN,MINOR_GREEN
45,COM_FIXED_TIME,4,D,RED,GREEN,MINOR_GREEN
45,COM_FIXED_TIME,5,F,RED,GREEN,MINOR_GREEN
45,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
45,COM_FIXED_TIME,7,RM_F,RED,,RAMP_RED
46,COM_FIXED_TIME,1,A,RED,GREEN,MINOR_GREEN
46,COM_FIXED_TIME,2,B,RED,GREEN,MINOR_GREEN
46,COM_FIXED_TIME,3,C,RED,GREEN,MINOR_GREEN
46,COM_FIXED_TIME,4,D,RED,GREEN,MINOR_GREEN
46,COM_FIXED_TIME,5,F,RED,GREEN,MINOR_GREEN
46,COM_FIXED_TIME,6,RM_D,RED,,RAMP_RED
