time_s,vehicle,connector,kind,other_link,lane,position_m,speed_kmh,residence_s,lower_time_s,upper_time_s
225.1,276,10491,departure,127,1,209.52,101.72,10.0,220.1,225.1
225.1,281,10491,departure,129,1,151.68,112.95,5.0,220.1,225.1
225.1,415,10491,arrival,,1,115.18,101.32,,220.1,225.1
225.1,1069,10482,arrival,,2,8.31,40.92,,220.1,225.1
225.1,302,10479,departure,125,1,216.06,106.14,10.0,220.1,225.1
225.1,324,10491,arrival,,1,81.16,105.29,,220.1,225.1
225.1,591,10644,arrival,,1,54.2,41.42,,220.1,225.1
225.1,340,10682,departure,121,1,176.76,111.28,10.0,220.1,225.1
225.1,344,10682,departure,121,1,154.27,114.11,5.0,220.1,225.1
225.1,1241,10484,arrival,,1,7.44,43.87,,220.1,225.1
225.1,871,10484,departure,24,1,440.28,67.41,40.0,220.1,225.1
225.1,367,10682,departure,121,1,127.2,117.2,5.0,220.1,225.1
225.1,246,10481,arrival,,1,133.06,134.83,,220.1,225.1
230.1,643,10482,departure,120,1,458.09,61.35,45.0,225.1,230.1
230.1,637,10482,departure,120,2,468.77,57.48,45.0,225.1,230.1
230.1,415,10491,departure,129,1,115.18,101.32,5.0,225.1,230.1
230.1,800,10490,arrival,,1,12.86,40.76,,225.1,230.1
230.1,33,10638,departure,126,2,272.82,122.78,10.0,225.1,230.1
230.1,51,10645,departure,123,1,239.83,110.77,10.0,225.1,230.1
230.1,569,10482,departure,120,2,486.98,57.49,50.0,225.1,230.1
230.1,1080,10482,arrival,,1,43.71,41.64,,225.1,230.1
230.1,574,10643,arrival,,2,114.11,113.23,,225.1,230.1
230.1,451,10682,arrival,,1,106.33,105.97,,225.1,230.1
230.1,581,10482,departure,120,1,482.08,56.02,50.0,225.1,230.1
230.1,1102,10482,arrival,,1,23.92,41.73,,225.1,230.1
230.1,336,10639,arrival,,1,44.94,40.71,,225.1,230.1
230.1,493,10491,arrival,,1,7.97,102.94,,225.1,230.1
230.1,369,10639,arrival,,1,26.56,39.72,,225.1,230.1
230.1,370,10482,departure,120,2,511.29,60.09,55.0,225.1,230.1
230.1,509,10482,departure,120,1,506.15,58.19,50.0,225.1,230.1
235.1,1153,10482,arrival,,2,9.08,39.41,,230.1,235.1
235.1,523,10682,arrival,,1,51.97,111.49,,230.1,235.1
235.1,530,10682,arrival,,1,77.78,116.7,,230.1,235.1
235.1,543,10682,arrival,,1,24.05,117.16,,230.1,235.1
235.1,423,10482,departure,120,1,506.33,66.13,55.0,230.1,235.1
235.1,684,10482,departure,120,2,482.08,76.79,45.0,230.1,235.1
235.1,435,10639,arrival,,1,54.55,42.99,,230.1,235.1
235.1,949,10484,departure,24,1,460.01,72.35,40.0,230.1,235.1
235.1,577,10482,departure,120,2,513.45,68.92,45.0,230.1,235.1
235.1,575,10643,arrival,,2,30.78,119.73,,230.1,235.1
235.1,451,10682,departure,121,1,106.33,105.97,5.0,230.1,235.1
235.1,324,10491,departure,127,1,213.53,86.6,10.0,230.1,235.1
235.1,454,10479,arrival,,1,123.27,110.89,,230.1,235.1
235.1,456,10639,arrival,,1,16.57,43.49,,230.1,235.1
235.1,592,10643,arrival,,1,80.17,116.34,,230.1,235.1
235.1,727,10482,departure,120,2,459.23,73.16,45.0,230.1,235.1
235.1,115,10481,departure,127,1,376.3,124.45,15.0,230.1,235.1
235.1,246,10481,departure,127,1,318.86,132.62,10.0,230.1,235.1
240.1,524,10482,departure,120,1,472.83,61.69,55.0,235.1,240.1
240.1,530,10682,departure,121,1,77.78,116.7,5.0,235.1,240.1
240.1,1189,10482,arrival,,2,39.44,42.02,,235.1,240.1
240.1,806,10482,departure,120,2,505.2,83.59,45.0,235.1,240.1
240.1,811,10482,departure,120,2,483.66,78.53,40.0,235.1,240.1
240.1,1195,10482,arrival,,1,27.3,44.93,,235.1,240.1
240.1,1201,10482,arrival,,1,10.48,43.88,,235.1,240.1
240.1,690,10643,arrival,,2,125.08,113.39,,235.1,240.1
240.1,437,10491,arrival,,1,69.14,89.36,,235.1,240.1
240.1,823,10482,departure,120,2,448.43,72.03,40.0,235.1,240.1
240.1,574,10643,departure,71,2,259.95,96.09,10.0,235.1,240.1
240.1,191,10481,arrival,,1,115.67,119.43,,235.1,240.1
240.1,452,10482,departure,120,1,515.84,62.58,55.0,235.1,240.1
240.1,454,10479,departure,125,1,123.27,110.89,5.0,235.1,240.1
240.1,1225,10482,arrival,,2,19.46,41.38,,235.1,240.1
240.1,853,10482,departure,120,2,427.59,68.2,40.0,235.1,240.1
240.1,480,10491,arrival,,1,101.09,90.65,,235.1,240.1
240.1,490,10482,departure,120,1,491.41,59.49,55.0,235.1,240.1
240.1,618,10643,arrival,,2,9.54,112.57,,235.1,240.1
240.1,493,10491,departure,129,1,160.96,116.79,10.0,235.1,240.1
240.1,750,10482,departure,120,1,453.83,60.06,45.0,235.1,240.1
240.1,368,10491,arrival,,1,3.54,104.89,,235.1,240.1
245.1,388,10491,arrival,,1,110.14,95.38,,240.1,245.1
245.1,522,10639,arrival,,1,1.43,41.11,,240.1,245.1
245.1,523,10682,departure,123,1,211.6,121.65,10.0,240.1,245.1
245.1,535,10482,departure,120,1,490.59,69.37,55.0,240.1,245.1
245.1,540,10490,departure,119,1,351.01,71.13,30.0,240.1,245.1
245.1,283,10681,arrival,,2,2.09,72.04,,240.1,245.1
245.1,543,10682,departure,123,1,185.21,115.11,10.0,240.1,245.1
245.1,560,10491,arrival,,1,61.55,100.25,,240.1,245.1
245.1,821,10482,departure,120,2,429.15,65.44,40.0,240.1,245.1
245.1,572,10682,arrival,,1,72.68,106.58,,240.1,245.1
245.1,447,10484,departure,24,1,519.37,83.44,45.0,240.1,245.1
245.1,575,10643,departure,10641,2,196.42,116.57,10.0,240.1,245.1
245.1,704,10482,departure,120,1,465.15,67.17,50.0,240.1,245.1
245.1,579,10682,arrival,,1,47.5,106.31,,240.1,245.1
245.1,1218,10482,arrival,,1,4.71,40.08,,240.1,245.1
245.1,592,10643,departure,10641,1,241.17,104.29,10.0,240.1,245.1
245.1,980,10490,arrival,,1,58.46,42.95,,240.1,245.1
245.1,859,10482,departure,120,2,458.74,70.18,40.0,240.1,245.1
245.1,477,10491,arrival,,1,22.66,103.67,,240.1,245.1
245.1,733,10643,arrival,,1,24.68,118.27,,240.1,245.1
245.1,608,10643,arrival,,2,134.29,115.4,,240.1,245.1
245.1,609,10479,arrival,,1,77.13,110.34,,240.1,245.1
245.1,1005,10490,arrival,,1,5.32,41.64,,240.1,245.1
245.1,882,10482,departure,120,2,491.29,77.07,40.0,240.1,245.1
245.1,500,10639,arrival,,1,22.9,41.18,,240.1,245.1
245.1,121,10638,arrival,,2,129.15,111.56,,240.1,245.1
245.1,126,10681,arrival,,2,34.93,72.96,,240.1,245.1
250.1,1280,10482,arrival,,2,30.38,41.61,,245.1,250.1
250.1,3,10646,arrival,,1,16.91,73.34,,245.1,250.1
250.1,388,10491,departure,129,1,110.14,95.38,5.0,245.1,250.1
250.1,516,10491,arrival,,1,64.89,107.42,,245.1,250.1
250.1,1282,10482,arrival,,2,6.94,42.99,,245.1,250.1
250.1,264,10639,departure,2,1,385.9,66.58,35.0,245.1,250.1
250.1,650,10682,arrival,,1,107.01,109.66,,245.1,250.1
250.1,910,10482,departure,120,2,487.77,81.92,40.0,245.1,250.1
250.1,792,10643,arrival,,1,117.03,121.81,,245.1,250.1
250.1,922,10482,departure,120,2,457.36,72.75,40.0,245.1,250.1
250.1,795,10482,departure,120,1,494.96,49.52,45.0,245.1,250.1
250.1,1053,10484,departure,24,1,431.84,65.46,40.0,245.1,250.1
250.1,690,10643,departure,71,2,280.98,106.15,10.0,245.1,250.1
250.1,437,10491,departure,10777,1,182.9,75.22,10.0,245.1,250.1
250.1,311,10484,departure,24,1,474.12,74.79,40.0,245.1,250.1
250.1,446,10479,arrival,,1,3.8,113.76,,245.1,250.1
250.1,703,10643,arrival,,1,98.92,119.57,,245.1,250.1
