start_sec,end_sec,connector,source_link,target_link,departures_observed,departures_inferred,departures_total,discharge_vph,arrival_events,mean_vehicles,mean_stopped,mean_speed_kph
3750,3900,10484,31,24,25,0,25,600.0,23,4.966666666666667,0.0,42.7897181208054
3750,3900,10490,129,119,12,0,12,288.0,9,2.3466666666666667,0.0,36.35633522727276
3750,3900,10491,26,129,39,0,39,936.0,36,18.566666666666666,11.413333333333334,10.321034111310576
3750,3900,10638,120,70,44,0,44,1056.0,48,6.4,0.0,50.36393750000005
3750,3900,10639,70,2,9,0,9,216.0,7,1.94,0.36,31.75429553264599
3750,3900,10643,2,126,10,0,10,240.0,11,1.2,0.0,62.48844444444447
3750,3900,10644,69,120,23,0,23,552.0,22,11.613333333333333,0.0,36.14560849598172
3750,3900,10645,120,123,32,0,32,768.0,35,2.52,0.0,110.35457671957685
3750,3900,10646,121,120,37,0,37,888.0,42,7.206666666666667,0.14,41.98548566142449
3750,3900,10681,68,2,7,0,7,168.0,7,0.9933333333333333,0.0,50.12993288590592
3750,3900,10682,2,121,33,0,33,792.0,30,20.69333333333333,8.8,8.608105670103077
3750,3900,10772,68,121,7,50,57,1368.0,57,0.04666666666666667,0.013333333333333334,19.802857142857142
3750,3900,10773,121,123,2,44,46,1104.0,46,0.013333333333333334,0.0,38.305
3900,4050,10479,26,125,37,0,37,888.0,35,2.473333333333333,0.0,89.10679245283016
3900,4050,10480,124,26,5,0,5,120.0,6,0.38,0.0,49.421052631578945
3900,4050,10481,2,127,16,0,16,384.0,17,124.34,111.76,1.5346163744571293
3900,4050,10482,32,120,27,0,27,648.0,29,6.04,0.0,41.1705077262692
3900,4050,10483,119,124,3,0,3,72.0,3,0.24,0.0,90.80583333333335
3900,4050,10484,31,24,25,0,25,600.0,31,6.64,0.0,40.627730923694834
3900,4050,10490,129,119,6,0,6,144.0,7,1.0333333333333334,0.0,41.7585806451613
3900,4050,10491,26,129,35,0,35,840.0,36,17.713333333333335,10.7,11.661076401957114
3900,4050,10638,120,70,41,0,41,984.0,38,5.873333333333333,0.013333333333333334,47.759250851305346
3900,4050,10639,70,2,4,0,4,96.0,6,1.28,0.12,31.41135416666666
3900,4050,10643,2,126,20,0,20,480.0,19,2.38,0.013333333333333334,64.10983193277313
3900,4050,10644,69,120,27,0,27,648.0,40,17.346666666666668,0.06,33.67714450422772
3900,4050,10645,120,123,46,0,46,1104.0,41,3.34,0.0,109.44550898203597
3900,4050,10646,121,120,37,0,37,888.0,32,5.326666666666667,0.0,45.620025031289174
3900,4050,10681,68,2,10,0,10,240.0,10,1.34,0.0,52.75129353233833
3900,4050,10682,2,121,40,0,40,960.0,37,17.82,6.24,12.206247661803214
3900,4050,10772,68,121,7,36,43,1032.0,43,0.06,0.013333333333333334,14.424444444444443
3900,4050,10773,121,123,1,51,52,1248.0,52,0.006666666666666667,0.0,42.51
4050,4200,10479,26,125,36,0,36,864.0,35,2.6266666666666665,0.0,86.33616751269032
4050,4200,10480,124,26,8,0,8,192.0,6,0.54,0.0,47.693209876543214
4050,4200,10481,2,127,16,0,16,384.0,19,126.12666666666667,114.04666666666667,1.3046651514350682
4050,4200,10482,32,120,20,0,20,480.0,18,4.206666666666667,0.0,40.708399366085295
4050,4200,10483,119,124,11,0,11,264.0,11,0.7133333333333334,0.0,111.88467289719628
4050,4200,10484,31,24,33,0,33,792.0,26,6.446666666666666,0.013333333333333334,41.70928645294704
4050,4200,10490,129,119,10,0,10,240.0,8,1.3333333333333333,0.0,40.76730000000002
4050,4200,10491,26,129,45,0,45,1080.0,43,15.906666666666666,7.833333333333333,14.92173093042748
4050,4200,10638,120,70,36,0,36,864.0,33,4.8533333333333335,0.0,48.14001373626369
4050,4200,10639,70,2,8,0,8,192.0,8,3.7466666666666666,1.8933333333333333,18.033505338078246
4050,4200,10643,2,126,15,0,15,360.0,14,1.84,0.04,62.00054347826086
4050,4200,10644,69,120,32,0,32,768.0,17,12.02,0.0,34.868313921242496
4050,4200,10645,120,123,49,0,49,1176.0,53,4.54,0.0,93.58317180616739
4050,4200,10646,121,120,24,0,24,576.0,27,4.406666666666666,0.0,43.46626323751904
4050,4200,10681,68,2,11,0,11,264.0,11,1.5933333333333333,0.0,49.22058577405856
4050,4200,10682,2,121,46,0,46,1104.0,41,13.72,4.06,17.18846452866859
4050,4200,10772,68,121,3,35,38,912.0,38,0.02,0.0,31.183333333333334
4050,4200,10773,121,123,3,55,58,1392.0,58,0.02,0.0,55.89666666666667
4200,4350,10479,26,125,41,0,41,984.0,42,2.986666666666667,0.0,84.00102678571427
4200,4350,10480,124,26,1,0,1,24.0,3,0.12,0.0,39.62055555555555
4200,4350,10481,2,127,15,0,15,360.0,11,124.66666666666667,112.64,1.2528449197860945
4200,4350,10482,32,120,16,0,16,384.0,21,3.8,0.0,40.7373333333333
4200,4350,10483,119,124,16,0,16,384.0,16,1.04,0.0,111.84467948717942
4200,4350,10484,31,24,21,0,21,504.0,22,5.2,0.0,40.001948717948856
4200,4350,10490,129,119,7,0,7,168.0,7,1.1666666666666667,0.0,41.16125714285716
4200,4350,10491,26,129,37,0,37,888.0,38,16.58,9.82,13.188423803779642
4200,4350,10638,120,70,35,0,35,840.0,40,5.293333333333333,0.0,50.47246851385398
4200,4350,10639,70,2,6,0,6,144.0,6,1.4133333333333333,0.2,29.040235849056664
4200,4350,10643,2,126,15,0,15,360.0,15,1.72,0.006666666666666667,66.71217054263566
4200,4350,10644,69,120,23,0,23,552.0,24,9.88,0.0,40.89728744939262
4200,4350,10645,120,123,43,0,43,1032.0,40,3.2466666666666666,0.0,107.67170431211497
