link,bin,lane,cls,rows,stopped,qtail_min,qhead_max,nveh
68,1800,1,ramp,455,81,53.54999923706055,239.38999938964844,54
68,1800,1,signal,369,4,237.97999572753906,245.02999877929688,78
68,1800,2,ramp,38,0,,,20
68,1800,2,signal,316,0,,,68
68,1800,3,ramp,7,0,,,7
68,1800,3,signal,291,0,,,59
68,1800,4,ramp,4,0,,,4
68,1800,4,signal,348,0,,,52
68,1950,1,ramp,367,68,58.119998931884766,242.9600067138672,46
68,1950,1,signal,403,3,239.92999267578125,242.66000366210938,85
68,1950,2,ramp,15,0,,,13
68,1950,2,signal,372,0,,,77
68,1950,3,ramp,4,0,,,4
68,1950,3,signal,264,0,,,58
68,1950,4,ramp,4,0,,,4
68,1950,4,signal,225,0,,,37
68,2100,1,ramp,451,99,42.90999984741211,247.05999755859375,52
68,2100,1,signal,353,3,238.77999877929688,240.6199951171875,77
68,2100,2,ramp,19,0,,,15
