link,bin,lane,cls,seg,rows,stopped,mean_speed
31,1050,3,ramp,0,13,0,41.967693
31,1050,3,ramp,100,9,0,45.73
31,1050,3,ramp,200,9,0,55.49556
31,1050,3,ramp,300,4,0,63.989998
31,1050,3,ramp,400,4,0,59.15
31,1050,3,ramp,500,3,0,83.66
31,1050,3,ramp,600,1,0,92.06
31,1050,3,signal,0,2,0,44.1
31,1050,3,signal,200,1,0,84.6
31,1050,3,signal,300,3,0,38.516666
31,1050,3,signal,400,10,0,49.221
31,1050,3,signal,500,8,0,51.22625
31,1050,3,signal,600,12,0,49.3
31,1050,3,signal,700,21,0,57.351906
31,1050,3,signal,800,20,0,69.5865
31,1050,3,signal,900,18,0,71.619446
31,1050,3,signal,1000,25,0,73.769196
31,1050,3,signal,1100,17,0,84.05353
31,1050,3,signal,1200,21,0,85.39476
31,1050,3,signal,1300,26,0,84.802315
31,1050,3,signal,1400,24,0,90.49583
31,1050,3,signal,1500,24,0,87.84333
31,1050,3,signal,1600,27,0,87.86037
31,1050,3,signal,1700,30,0,90.39633
31,1050,3,signal,1800,29,0,90.57828
31,1050,3,signal,1900,21,0,88.57143
31,1200,1,ramp,0,12,0,44.655
31,1200,1,ramp,100,14,0,45.75357
31,1200,1,ramp,200,15,0,46.090664
31,1200,1,ramp,300,34,0,43.255882
31,1200,1,ramp,400,7,0,43.134285
31,1200,1,ramp,500,4,0,59.0425
31,1200,1,ramp,600,17,0,41.26706
31,1200,1,ramp,700,7,0,38.33857
31,1200,1,signal,0,1,0,40.95
31,1200,1,signal,100,2,0,56.56
31,1200,1,signal,200,4,0,67.685
31,1200,1,signal,300,2,0,46.92
31,1200,1,signal,600,14,0,49.311428
31,1200,1,signal,700,8,0,72.185
31,1200,1,signal,800,13,0,87.07
31,1200,1,signal,900,29,0,94.979996
31,1200,1,signal,1000,21,0,99.847145
31,1200,1,signal,1100,21,0,98.195244
31,1200,1,signal,1200,28,0,91.91071
31,1200,1,signal,1300,26,0,84.62731
31,1200,1,signal,1400,30,0,81.71967
31,1200,1,signal,1500,35,0,74.93629
31,1200,1,signal,1600,32,0,77.350624
31,1200,1,signal,1700,24,0,83.6975
31,1200,1,signal,1800,31,0,82.73581
31,1200,1,signal,1900,25,0,90.5916
31,1200,2,ramp,0,7,0,51.140003
31,1200,2,ramp,100,9,0,53.108887
31,1200,2,ramp,200,9,0,49.05111
31,1200,2,ramp,300,3,0,65.39667
31,1200,2,ramp,400,5,0,55.059998
31,1200,2,ramp,500,2,0,43.16
31,1200,2,signal,0,1,0,63.87
31,1200,2,signal,100,2,0,49.515
31,1200,2,signal,300,9,0,56.052223
31,1200,2,signal,400,11,0,52.315456
31,1200,2,signal,500,9,0,53.441113
31,1200,2,signal,600,20,0,55.764
31,1200,2,signal,700,15,0,60.828
31,1200,2,signal,800,15,0,59.047337
31,1200,2,signal,900,22,0,76.795
31,1200,2,signal,1000,22,0,80.22546
31,1200,2,signal,1100,19,0,76.71
31,1200,2,signal,1200,22,0,68.61
31,1200,2,signal,1300,29,0,64.29724
31,1200,2,signal,1400,26,0,61.683846
31,1200,2,signal,1500,28,0,57.325356
31,1200,2,signal,1600,30,0,64.47466
31,1200,2,signal,1700,25,0,57.1284
31,1200,2,signal,1800,29,0,67.90276
31,1200,2,signal,1900,18,0,75.51444
31,1200,3,ramp,0,8,0,37.91375
31,1200,3,ramp,100,5,0,37.684
31,1200,3,ramp,200,2,0,41.855
31,1200,3,ramp,300,2,0,39.42
31,1200,3,ramp,400,2,0,41.25
31,1200,3,ramp,500,1,0,39.12
31,1200,3,signal,0,8,0,36.8475
31,1200,3,signal,100,5,0,36.892002
31,1200,3,signal,200,3,0,34.783333
31,1200,3,signal,300,6,0,42.321667
31,1200,3,signal,400,5,0,44.620003
31,1200,3,signal,500,6,0,53.96167
31,1200,3,signal,600,7,0,53.96857
31,1200,3,signal,700,13,0,65.90769
31,1200,3,signal,800,10,0,90.229
31,1200,3,signal,900,7,0,98.36428
31,1200,3,signal,1000,14,0,89.707146
31,1200,3,signal,1100,25,0,86.78281
31,1200,3,signal,1200,19,0,77.41685
31,1200,3,signal,1300,28,0,74.31393
31,1200,3,signal,1400,31,0,72.577415
31,1200,3,signal,1500,30,0,73.19334
31,1200,3,signal,1600,32,0,71.40063
31,1200,3,signal,1700,35,0,70.099144
31,1200,3,signal,1800,34,0,65.35676
31,1200,3,signal,1900,22,0,70.461365
31,1350,1,ramp,0,17,0,40.364708
31,1350,1,ramp,100,17,0,40.94
31,1350,1,ramp,200,15,0,45.020668
31,1350,1,ramp,300,35,0,39.66
31,1350,1,ramp,400,9,0,37.577778
31,1350,1,ramp,500,6,0,42.001667
31,1350,1,ramp,600,19,0,37.675262
31,1350,1,ramp,700,5,0,42.736
31,1350,1,signal,0,1,0,42.26
31,1350,1,signal,100,3,0,42.11667
31,1350,1,signal,200,4,0,41.1375
31,1350,1,signal,300,3,0,40.24
31,1350,1,signal,400,3,0,42.926666
